Timestamp,Value,Type
11:53:58 PM.997,"Temperature: 27.30°C\r\n",received
11:53:58 PM.997,"Cloud Temperature: 27.30\r\n",received
11:54:01 PM.43,"Temperature: 27.30°C\r\n",received
11:54:01 PM.43,"Cloud Temperature: 27.30\r\n",received
11:54:03 PM.100,"Temperature: 27.30°C\r\n",received
11:54:03 PM.100,"Cloud Temperature: 27.30\r\n",received
11:54:05 PM.139,"Temperature: 27.40°C\r\n",received
11:54:05 PM.162,"Cloud Temperature: 27.40\r\n",received
11:54:07 PM.208,"Temperature: 27.30°C\r\n",received
11:54:07 PM.208,"Cloud Temperature: 27.30\r\n",received
11:54:09 PM.253,"Temperature: 27.30°C\r\n",received
11:54:09 PM.253,"Cloud Temperature: 27.30\r\n",received
11:54:11 PM.304,"Temperature: 27.30°C\r\n",received
11:54:11 PM.304,"Cloud Temperature: 27.30\r\n",received
11:54:13 PM.355,"Temperature: 27.30°C\r\n",received
11:54:13 PM.355,"Cloud Temperature: 27.30\r\n",received
11:54:15 PM.403,"Temperature: 27.30°C\r\n",received
11:54:15 PM.403,"Cloud Temperature: 27.30\r\n",received
11:54:17 PM.443,"Temperature: 27.30°C\r\n",received
11:54:17 PM.464,"Cloud Temperature: 27.30\r\n",received
11:54:19 PM.508,"Temperature: 27.30°C\r\n",received
11:54:19 PM.508,"Cloud Temperature: 27.30\r\n",received
11:54:21 PM.568,"Temperature: 27.30°C\r\n",received
11:54:21 PM.568,"Cloud Temperature: 27.30\r\n",received
11:54:23 PM.612,"Temperature: 27.30°C\r\n",received
11:54:23 PM.612,"Cloud Temperature: 27.30\r\n",received
11:54:25 PM.654,"Temperature: 27.30°C\r\n",received
11:54:25 PM.654,"Cloud Temperature: 27.30\r\n",received
11:54:27 PM.702,"Temperature: 27.30°C\r\n",received
11:54:27 PM.702,"Cloud Temperature: 27.30\r\n",received
11:54:29 PM.750,"Temperature: 27.30°C\r\n",received
11:54:29 PM.750,"Cloud Temperature: 27.30\r\n",received
11:54:31 PM.810,"Temperature: 27.40°C\r\n",received
11:54:31 PM.810,"Cloud Temperature: 27.40\r\n",received
11:54:33 PM.860,"Temperature: 27.30°C\r\n",received
11:54:33 PM.860,"Cloud Temperature: 27.30\r\n",received
11:54:35 PM.920,"Temperature: 27.30°C\r\n",received
11:54:35 PM.920,"Cloud Temperature: 27.30\r\n",received
11:54:37 PM.968,"Temperature: 27.40°C\r\n",received
11:54:37 PM.968,"Cloud Temperature: 27.40\r\n",received
11:54:40 PM.6,"Temperature: 27.30°C\r\n",received
11:54:40 PM.6,"Cloud Temperature: 27.30\r\n",received
11:54:42 PM.51,"Temperature: 27.40°C\r\n",received
11:54:42 PM.73,"Cloud Temperature: 27.40\r\n",received
11:54:44 PM.116,"Temperature: 27.40°C\r\n",received
11:54:44 PM.116,"Cloud Temperature: 27.40\r\n",received
11:54:46 PM.169,"Temperature: 27.40°C\r\n",received
11:54:46 PM.169,"Cloud Temperature: 27.40\r\n",received
11:54:48 PM.217,"Temperature: 27.40°C\r\n",received
11:54:48 PM.217,"Cloud Temperature: 27.40\r\n",received
11:54:50 PM.266,"Temperature: 27.40°C\r\n",received
11:54:50 PM.266,"Cloud Temperature: 27.40\r\n",received
11:54:52 PM.312,"Temperature: 27.40°C\r\n",received
11:54:52 PM.312,"Cloud Temperature: 27.40\r\n",received
11:54:54 PM.356,"Temperature: 27.40°C\r\n",received
11:54:54 PM.356,"Cloud Temperature: 27.40\r\n",received
11:54:56 PM.410,"Temperature: 27.40°C\r\n",received
11:54:56 PM.410,"Cloud Temperature: 27.40\r\n",received
11:54:58 PM.451,"Temperature: 27.40°C\r\n",received
11:54:58 PM.471,"Cloud Temperature: 27.40\r\n",received
11:55:00 PM.530,"Temperature: 27.40°C\r\n",received
11:55:00 PM.530,"Cloud Temperature: 27.40\r\n",received
11:55:02 PM.577,"Temperature: 27.40°C\r\n",received
11:55:02 PM.577,"Cloud Temperature: 27.40\r\n",received
11:55:04 PM.624,"Temperature: 27.40°C\r\n",received
11:55:04 PM.624,"Cloud Temperature: 27.40\r\n",received
11:55:06 PM.671,"Temperature: 27.40°C\r\n",received
11:55:06 PM.671,"Cloud Temperature: 27.40\r\n",received
11:55:08 PM.721,"Temperature: 27.50°C\r\n",received
11:55:08 PM.721,"Cloud Temperature: 27.50\r\n",received
11:55:10 PM.762,"Temperature: 27.50°C\r\n",received
11:55:10 PM.762,"Cloud Temperature: 27.50\r\n",received
11:55:12 PM.803,"Temperature: 27.40°C\r\n",received
11:55:12 PM.826,"Cloud Temperature: 27.40\r\n",received
11:55:14 PM.871,"Temperature: 27.50°C\r\n",received
11:55:14 PM.871,"Cloud Temperature: 27.50\r\n",received
11:55:16 PM.917,"Temperature: 27.50°C\r\n",received
11:55:16 PM.917,"Cloud Temperature: 27.50\r\n",received
11:55:18 PM.970,"Temperature: 27.50°C\r\n",received
11:55:18 PM.970,"Cloud Temperature: 27.50\r\n",received
11:55:21 PM.18,"Temperature: 27.50°C\r\n",received
11:55:21 PM.18,"Cloud Temperature: 27.50\r\n",received
11:55:23 PM.65,"Temperature: 27.50°C\r\n",received
11:55:23 PM.65,"Cloud Temperature: 27.50\r\n",received
11:55:25 PM.117,"Temperature: 27.50°C\r\n",received
11:55:25 PM.117,"Cloud Temperature: 27.50\r\n",received
11:55:27 PM.169,"Temperature: 27.50°C\r\n",received
11:55:27 PM.169,"Cloud Temperature: 27.50\r\n",received
11:55:29 PM.221,"Temperature: 27.40°C\r\n",received
11:55:29 PM.221,"Cloud Temperature: 27.40\r\n",received
11:55:31 PM.279,"Temperature: 27.50°C\r\n",received
11:55:31 PM.279,"Cloud Temperature: 27.50\r\n",received
11:55:33 PM.310,"Temperature: 27.50°C\r\n",received
11:55:33 PM.325,"Cloud Temperature: 27.50\r\n",received
11:55:35 PM.374,"Temperature: 27.50°C\r\n",received
11:55:35 PM.374,"Cloud Temperature: 27.50\r\n",received
11:55:37 PM.422,"Temperature: 27.50°C\r\n",received
11:55:37 PM.422,"Cloud Temperature: 27.50\r\n",received
11:55:39 PM.469,"Temperature: 27.50°C\r\n",received
11:55:39 PM.469,"Cloud Temperature: 27.50\r\n",received
11:55:41 PM.507,"Temperature: 27.50°C\r\n",received
11:55:41 PM.507,"Cloud Temperature: 27.50\r\n",received
11:55:43 PM.585,"Temperature: 27.50°C\r\n",received
11:55:43 PM.585,"Cloud Temperature: 27.50\r\n",received
11:55:45 PM.620,"Temperature: 27.50°C\r\n",received
11:55:45 PM.620,"Cloud Temperature: 27.50\r\n",received
11:55:47 PM.669,"Temperature: 27.60°C\r\n",received
11:55:47 PM.669,"Cloud Temperature: 27.60\r\n",received
11:55:49 PM.722,"Temperature: 27.60°C\r\n",received
11:55:49 PM.722,"Cloud Temperature: 27.60\r\n",received
11:55:51 PM.766,"Temperature: 27.50°C\r\n",received
11:55:51 PM.766,"Cloud Temperature: 27.50\r\n",received
11:55:53 PM.812,"Temperature: 27.60°C\r\n",received
11:55:53 PM.812,"Cloud Temperature: 27.60\r\n",received
11:55:55 PM.884,"Temperature: 27.60°C\r\n",received
11:55:55 PM.884,"Cloud Temperature: 27.60\r\n",received
11:55:57 PM.936,"Temperature: 27.60°C\r\n",received
11:55:57 PM.936,"Cloud Temperature: 27.60\r\n",received
11:55:59 PM.979,"Temperature: 27.60°C\r\n",received
11:55:59 PM.979,"Cloud Temperature: 27.60\r\n",received
11:56:02 PM.23,"Temperature: 27.60°C\r\n",received
11:56:02 PM.23,"Cloud Temperature: 27.60\r\n",received
11:56:04 PM.78,"Temperature: 27.60°C\r\n",received
11:56:04 PM.78,"Cloud Temperature: 27.60\r\n",received
11:56:06 PM.119,"Temperature: 27.60°C\r\n",received
11:56:06 PM.119,"Cloud Temperature: 27.60\r\n",received
11:56:08 PM.169,"Temperature: 27.60°C\r\n",received
11:56:08 PM.169,"Cloud Temperature: 27.60\r\n",received
11:56:10 PM.219,"Temperature: 27.60°C\r\n",received
11:56:10 PM.219,"Cloud Temperature: 27.60\r\n",received
11:56:12 PM.274,"Temperature: 27.60°C\r\n",received
11:56:12 PM.274,"Cloud Temperature: 27.60\r\n",received
11:56:14 PM.317,"Temperature: 27.60°C\r\n",received
11:56:14 PM.317,"Cloud Temperature: 27.60\r\n",received
11:56:16 PM.385,"Temperature: 27.60°C\r\n",received
11:56:16 PM.385,"Cloud Temperature: 27.60\r\n",received
11:56:18 PM.426,"Temperature: 27.60°C\r\n",received
11:56:18 PM.426,"Cloud Temperature: 27.60\r\n",received
11:56:20 PM.476,"Temperature: 27.60°C\r\n",received
11:56:20 PM.476,"Cloud Temperature: 27.60\r\n",received
11:56:22 PM.518,"Temperature: 27.60°C\r\n",received
11:56:22 PM.518,"Cloud Temperature: 27.60\r\n",received
11:56:24 PM.565,"Temperature: 27.60°C\r\n",received
11:56:24 PM.565,"Cloud Temperature: 27.60\r\n",received
11:56:26 PM.621,"Temperature: 27.60°C\r\n",received
11:56:26 PM.621,"Cloud Temperature: 27.60\r\n",received
11:56:28 PM.671,"Temperature: 27.60°C\r\n",received
11:56:28 PM.671,"Cloud Temperature: 27.60\r\n",received
11:56:30 PM.717,"Temperature: 27.60°C\r\n",received
11:56:30 PM.717,"Cloud Temperature: 27.60\r\n",received
11:56:32 PM.764,"Temperature: 27.60°C\r\n",received
11:56:32 PM.764,"Cloud Temperature: 27.60\r\n",received
11:56:34 PM.816,"Temperature: 27.60°C\r\n",received
11:56:34 PM.816,"Cloud Temperature: 27.60\r\n",received
11:56:36 PM.881,"Temperature: 27.60°C\r\n",received
11:56:36 PM.881,"Cloud Temperature: 27.60\r\n",received
11:56:38 PM.917,"Temperature: 27.60°C\r\n",received
11:56:38 PM.917,"Cloud Temperature: 27.60\r\n",received
11:56:40 PM.971,"Temperature: 27.60°C\r\n",received
11:56:40 PM.971,"Cloud Temperature: 27.60\r\n",received
11:56:43 PM.22,"Temperature: 27.60°C\r\n",received
11:56:43 PM.22,"Cloud Temperature: 27.60\r\n",received
11:56:45 PM.59,"Temperature: 27.60°C\r\n",received
11:56:45 PM.59,"Cloud Temperature: 27.60\r\n",received
11:56:47 PM.116,"Temperature: 27.60°C\r\n",received
11:56:47 PM.116,"Cloud Temperature: 27.60\r\n",received
11:56:49 PM.163,"Temperature: 27.60°C\r\n",received
11:56:49 PM.163,"Cloud Temperature: 27.60\r\n",received
11:56:51 PM.208,"Temperature: 27.60°C\r\n",received
11:56:51 PM.208,"Cloud Temperature: 27.60\r\n",received
11:56:53 PM.263,"Temperature: 27.60°C\r\n",received
11:56:53 PM.263,"Cloud Temperature: 27.60\r\n",received
11:56:55 PM.305,"Temperature: 27.60°C\r\n",received
